;Objetivos;;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;TOTAL;;;;;;;Ticket;Colchones;;Living;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sillones Equivalente;; $455.524,14; $484.063,78; $498.581,66; $527.176,12; $530.950,61; $551.945,25; $541.085,04; $567.488,80; $575.746,19;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Colchones;; $124.835,93; $125.952,59; $139.673,84; $156.971,28; $168.303,51; $165.038,22; $171.695,35; $173.061,14; $169.416,25;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Block en kilogramos;; $8.540,78; $8.708,63; $9.374,19; $10.529,00; $10.624,79; $10.944,37; $11.446,28; $11.149,15; $11.030,30;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CARGAR EL CONSENSUADO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;VENTAS CONSENSUADO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Consensuado Sillones Equivalente;;792;792;1.056;1.122,00;1.320,00;1.518,00;1.518,00;1.518,00;1.518,00;1.320,00;1.188,00;1.056,00;14.718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Consensuado Colchones unidad;;6.480;6.480;7.290;7.290,00;8.910,00;8.910,00;8.910,00;8.910,00;10.400,00;8.100,00;7.800,00;8.100,00;97.580;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Plande venta Block;;2.327;2.327;2.327;2.327;2.644,00;2.961,00;2.961,00;2.961,00;2.644,00;2.644,00;2.538,00;2.538,00;31.199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Consensuado REVENTA en $;;$60.000.000,00;$70.000.000,00;$80.000.000,00;$85.000.000,00;$100.000.000,00;$100.000.000,00;$100.000.000,00;$100.000.000,00;$100.000.000,00;$100.000.000,00;$100.000.000,00;$100.000.000,00;$1.095.000.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Plan de venta equivalente Unidades;;2.991;2.991;3.525;3.590,78;4.334,07;4.537,35;4.537,35;4.537,35;5.028,73;4.064,07;3.830,30;3.798,30;47.765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
