Lista de Materiales — tal como la entregó Sistemas;;;;
56.207 líneas: Modelo -> Insumo -> Cantidad por unidad. Es el insumo base de todos los cálculos de este archivo.;;;;
;;;;
Modelo (base);Insumo (materia prima);Cantidad por unidad;UdM;
TAP-RJENS10019030E;V368;1,24;m;
TAP-RJENS10019030E;TNT 13G - 2,2M - BLANCO;3,38;m;
TAP-RJENS10019030E;AMINA                         ;6,1715;g;
TAP-RJENS10019030E;VORANOL 3943 (COPO)           ;1005,623;g;
TAP-RJENS10019030E;TDI (DI ISIOCANATO DE TOLUENO);2389,8033;g;
TAP-RJENS10019030E;GLICERINA;2,2101;g;
TAP-RJENS10019030E;PASTA AZUL;0,1419;g;
TAP-RJENS10019030E;T9 (OCTOATO DE ESTAAÑO)       ;8,9686;g;
TAP-RJENS10019030E;VORANOL 3011 (POLIOL)         ;3068,2295;g;
TAP-RJENS10019030E;CLORURO DE METILENO           ;156,7913;g;
TAP-RJENS10019030E;SILICONA2 - B 8123 / 580      ;38,8816;g;
TAP-RJENS10019030E;AIREADORES PLASTICOS;4;Units;
TAP-RJENS10019030E;HILO VAHE POLI 80 BLANCO (copia);355,45;m;
TAP-RJENS10019030E;HILO VAHE 300T BLANCO (copia);4,38;g;
TAP-RJENS10019030E;V1557;2,14;m;
TAP-RJENS10019030E;SILICONA1 B 8228 - 594        ;17,9244;g;
TAP-RJENS10019030E;BASE RESORTE BICONICO 190X100;1;Units;
TAP-RJENS10019030E;CEMENTO SOLIDEX 0777 FC 0782MV;0,13;kg;
TAP-RJENS10019030E;"GRAMPA ANILLO ""C"" 3/4 - RING15";0,04;Unidad de Mil;
TAP-RJENS10019030E;NYLON VIRGEN 2200MM (STDR);0,61;kg;
TAP-RJENS10019030E;FAJA GARANTIA SIN MARCA;1;Units;
TAP-RJENS10019030E;HILO VAHE (ESTANDAR) X;75,1;m;
TAP-RJENS10019030E;VIVO NEGRO BASTON GRIS 35MM;25;m;
TAP-RJENS10019030E;TNT 60G - 2M - BLANCO/NEGRO;2,52;m;
TAP-RJENS13019030E;V368;1,4;m;
TAP-RJENS13019030E;TNT 13G - 2,2M - BLANCO;4,18;m;
TAP-RJENS13019030E;AMINA                         ;7,8078;g;
TAP-RJENS13019030E;VORANOL 3943 (COPO)           ;1268,5264;g;
TAP-RJENS13019030E;TDI (DI ISIOCANATO DE TOLUENO);3023,062;g;
TAP-RJENS13019030E;GLICERINA;2,8342;g;
TAP-RJENS13019030E;PASTA AZUL;0,1548;g;
TAP-RJENS13019030E;T9 (OCTOATO DE ESTAAÑO)       ;11,3532;g;
TAP-RJENS13019030E;VORANOL 3011 (POLIOL)         ;3885,39;g;
TAP-RJENS13019030E;CLORURO DE METILENO           ;198,0794;g;
TAP-RJENS13019030E;SILICONA2 - B 8123 / 580      ;48,7392;g;
TAP-RJENS13019030E;AIREADORES PLASTICOS;4;Units;
TAP-RJENS13019030E;HILO VAHE POLI 80 BLANCO (copia);423,89;m;
TAP-RJENS13019030E;HILO VAHE 300T BLANCO (copia);5,18;g;
TAP-RJENS13019030E;V1557;2,78;m;
TAP-RJENS13019030E;SILICONA1 B 8228 - 594        ;23,2098;g;
TAP-RJENS13019030E;BASE RESORTE BICONICO 190X130;1;Units;
TAP-RJENS13019030E;CEMENTO SOLIDEX 0777 FC 0782MV;0,15;kg;
TAP-RJENS13019030E;"GRAMPA ANILLO ""C"" 3/4 - RING15";0,04;Unidad de Mil;
TAP-RJENS13019030E;NYLON VIRGEN 2200MM (STDR);0,73;kg;
TAP-RJENS13019030E;FAJA GARANTIA SIN MARCA;1;Units;
TAP-RJENS13019030E;HILO VAHE (ESTANDAR) X;84,17;m;
TAP-RJENS13019030E;VIVO NEGRO BASTON GRIS 35MM;27,51;m;
TAP-RJENS13019030E;TNT 60G - 2M - BLANCO/NEGRO;3,12;m;
TAP-RJENS14019030E;V368;1,4;m;
TAP-RJENS14019030E;TNT 13G - 2,2M - BLANCO;4,38;m;
TAP-RJENS14019030E;AMINA                         ;8,4712;g;
TAP-RJENS14019030E;VORANOL 3943 (COPO)           ;1379,083;g;
TAP-RJENS14019030E;TDI (DI ISIOCANATO DE TOLUENO);3278,852;g;
TAP-RJENS14019030E;GLICERINA;3,047;g;
TAP-RJENS14019030E;PASTA AZUL;0,1548;g;
TAP-RJENS14019030E;T9 (OCTOATO DE ESTAAÑO)       ;12,3124;g;
TAP-RJENS14019030E;VORANOL 3011 (POLIOL)         ;4212,8012;g;
TAP-RJENS14019030E;CLORURO DE METILENO           ;214,4692;g;
TAP-RJENS14019030E;SILICONA2 - B 8123 / 580      ;52,9392;g;
TAP-RJENS14019030E;AIREADORES PLASTICOS;4;Units;
TAP-RJENS14019030E;HILO VAHE POLI 80 BLANCO (copia);439,3;m;
TAP-RJENS14019030E;HILO VAHE 300T BLANCO (copia);5,32;g;
TAP-RJENS14019030E;V1557;2,98;m;
TAP-RJENS14019030E;SILICONA1 B 8228 - 594        ;25,0482;g;
TAP-RJENS14019030E;BASE RESORTE BICONICO 190X140;1;Units;
TAP-RJENS14019030E;CEMENTO SOLIDEX 0777 FC 0782MV;0,17;kg;
TAP-RJENS14019030E;"GRAMPA ANILLO ""C"" 3/4 - RING15";0,04;Unidad de Mil;
TAP-RJENS14019030E;NYLON VIRGEN 2200MM (STDR);0,77;kg;
TAP-RJENS14019030E;FAJA GARANTIA SIN MARCA;1;Units;
TAP-RJENS14019030E;HILO VAHE (ESTANDAR) X;84,56;m;
TAP-RJENS14019030E;VIVO NEGRO BASTON GRIS 35MM;28,35;m;
TAP-RJENS14019030E;TNT 60G - 2M - BLANCO/NEGRO;3,32;m;
TAP-RJENS16020030E;V368;1,59;m;
TAP-RJENS16020030E;TNT 13G - 2,2M - BLANCO;4,99;m;
TAP-RJENS16020030E;AMINA                         ;9,9564;g;
TAP-RJENS16020030E;VORANOL 3943 (COPO)           ;1614,6513;g;
TAP-RJENS16020030E;TDI (DI ISIOCANATO DE TOLUENO);3854,2453;g;
TAP-RJENS16020030E;GLICERINA;3,6445;g;
TAP-RJENS16020030E;PASTA AZUL;0,1677;g;
TAP-RJENS16020030E;T9 (OCTOATO DE ESTAAÑO)       ;14,4826;g;
TAP-RJENS16020030E;VORANOL 3011 (POLIOL)         ;4957,4993;g;
TAP-RJENS16020030E;CLORURO DE METILENO           ;252,1554;g;
TAP-RJENS16020030E;SILICONA2 - B 8123 / 580      ;61,7048;g;
TAP-RJENS16020030E;AIREADORES PLASTICOS;4;Units;
TAP-RJENS16020030E;HILO VAHE POLI 80 BLANCO (copia);511,64;m;
TAP-RJENS16020030E;HILO VAHE 300T BLANCO (copia);6,19;g;
TAP-RJENS16020030E;V1557;3,4;m;
TAP-RJENS16020030E;SILICONA1 B 8228 - 594        ;30,1038;g;
TAP-RJENS16020030E;BASE RESORTE BICONICO 200X160;1;Units;
TAP-RJENS16020030E;CEMENTO SOLIDEX 0777 FC 0782MV;0,18;kg;
TAP-RJENS16020030E;"GRAMPA ANILLO ""C"" 3/4 - RING15";0,05;Unidad de Mil;
TAP-RJENS16020030E;NYLON VIRGEN 2300MM (STDR);0,93;kg;
TAP-RJENS16020030E;FAJA GARANTIA SIN MARCA;1;Units;
TAP-RJENS16020030E;HILO VAHE (ESTANDAR) X;95,79;m;
TAP-RJENS16020030E;VIVO NEGRO BASTON GRIS 35MM;30,87;m;
TAP-RJENS16020030E;TNT 60G - 2M - BLANCO/NEGRO;3,72;m;
TAP-RJENS16020030E;ALE ASTM227 CII-5,00 MM-RS500(;2,21;kg;
TAP-RJENS16020030E;ESTABILIZADORES DOBLE M;12;Units;
TAP-RJENS16020030E;GRAMPA CLIP CC32 - 11*14;168;Units;
TAP-RJENS16020030E;GRAMPA CLIP CL34 - 22*17;72;Units;
TAP-RJENS18020030E;V368;1,59;m;
TAP-RJENS18020030E;TNT 13G - 2,2M - BLANCO;5,41;m;
TAP-RJENS18020030E;AMINA                         ;10,8242;g;
TAP-RJENS18020030E;VORANOL 3943 (COPO)           ;1785,4638;g;
TAP-RJENS18020030E;TDI (DI ISIOCANATO DE TOLUENO);4184,5942;g;
TAP-RJENS18020030E;GLICERINA;3,6568;g;
TAP-RJENS18020030E;PASTA AZUL;0,1806;g;
TAP-RJENS18020030E;T9 (OCTOATO DE ESTAAÑO)       ;15,688;g;
TAP-RJENS18020030E;VORANOL 3011 (POLIOL)         ;5360,1206;g;
TAP-RJENS18020030E;CLORURO DE METILENO           ;272,2666;g;
TAP-RJENS18020030E;SILICONA2 - B 8123 / 580      ;68,9584;g;
TAP-RJENS18020030E;AIREADORES PLASTICOS;4;Units;
TAP-RJENS18020030E;HILO VAHE POLI 80 BLANCO (copia);544,06;m;
TAP-RJENS18020030E;HILO VAHE 300T BLANCO (copia);6,49;g;
TAP-RJENS18020030E;V1557;3,82;m;
TAP-RJENS18020030E;SILICONA1 B 8228 - 594        ;30,1038;g;
TAP-RJENS18020030E;BASE RESORTE BICONICO 200X180;1;Units;
TAP-RJENS18020030E;CEMENTO SOLIDEX 0777 FC 0782MV;0,22;kg;
TAP-RJENS18020030E;"GRAMPA ANILLO ""C"" 3/4 - RING15";0,05;Unidad de Mil;
TAP-RJENS18020030E;NYLON VIRGEN 2300MM (STDR);1,02;kg;
TAP-RJENS18020030E;FAJA GARANTIA SIN MARCA;1;Units;
TAP-RJENS18020030E;HILO VAHE (ESTANDAR) X;96,58;m;
TAP-RJENS18020030E;VIVO NEGRO BASTON GRIS 35MM;32,55;m;
TAP-RJENS18020030E;TNT 60G - 2M - BLANCO/NEGRO;4,12;m;
TAP-RJENS18020030E;ALE ASTM227 CII-5,00 MM-RS500(;2,33;kg;
TAP-RJENS18020030E;ESTABILIZADORES DOBLE M;12;Units;
TAP-RJENS18020030E;GRAMPA CLIP CC32 - 11*14;176;Units;
TAP-RJENS18020030E;GRAMPA CLIP CL34 - 22*17;72;Units;
TAP-RJENS20020030E;V368;1,85;m;
TAP-RJENS20020030E;TNT 13G - 2,2M - BLANCO;6,09;m;
TAP-RJENS20020030E;AMINA                         ;12,3559;g;
TAP-RJENS20020030E;VORANOL 3943 (COPO)           ;2004,0496;g;
TAP-RJENS20020030E;TDI (DI ISIOCANATO DE TOLUENO);4782,4505;g;
TAP-RJENS20020030E;GLICERINA;4,5203;g;
TAP-RJENS20020030E;PASTA AZUL;0,1935;g;
TAP-RJENS20020030E;T9 (OCTOATO DE ESTAAÑO)       ;17,9722;g;
TAP-RJENS20020030E;VORANOL 3011 (POLIOL)         ;6152,0027;g;
TAP-RJENS20020030E;CLORURO DE METILENO           ;312,6073;g;
TAP-RJENS20020030E;SILICONA2 - B 8123 / 580      ;76,464;g;
TAP-RJENS20020030E;AIREADORES PLASTICOS;4;Units;
TAP-RJENS20020030E;HILO VAHE POLI 80 BLANCO (copia);614,08;m;
TAP-RJENS20020030E;HILO VAHE 300T BLANCO (copia);7,41;g;
TAP-RJENS20020030E;V1557;4,24;m;
TAP-RJENS20020030E;SILICONA1 B 8228 - 594        ;37,4574;g;
TAP-RJENS20020030E;BASE RESORTE BICONICO 200X200;1;Units;
TAP-RJENS20020030E;CEMENTO SOLIDEX 0777 FC 0782MV;0,23;kg;
TAP-RJENS20020030E;"GRAMPA ANILLO ""C"" 3/4 - RING15";0,06;Unidad de Mil;
TAP-RJENS20020030E;NYLON VIRGEN 2300MM (STDR);1,11;kg;
TAP-RJENS20020030E;FAJA GARANTIA SIN MARCA;1;Units;
TAP-RJENS20020030E;HILO VAHE (ESTANDAR) X;110,8;m;
TAP-RJENS20020030E;VIVO NEGRO BASTON GRIS 35MM;34,23;m;
TAP-RJENS20020030E;TNT 60G - 2M - BLANCO/NEGRO;4,52;m;
TAP-RJENS20020030E;ALE ASTM227 CII-5,00 MM-RS500(;2,45;kg;
TAP-RJENS20020030E;ESTABILIZADORES DOBLE M;12;Units;
TAP-RJENS20020030E;GRAMPA CLIP CC32 - 11*14;184;Units;
TAP-RJENS20020030E;GRAMPA CLIP CL34 - 22*17;72;Units;
TAP-RARES8019032E;V368;1,12;m;
TAP-RARES8019032E;TNT 13G - 2,2M - BLANCO;2,84;m;
TAP-RARES8019032E;AMINA                         ;8,5347;g;
TAP-RARES8019032E;VORANOL 3943 (COPO)           ;1159,7616;g;
TAP-RARES8019032E;TDI (DI ISIOCANATO DE TOLUENO);2436,8344;g;
TAP-RARES8019032E;GLICERINA;1,7722;g;
TAP-RARES8019032E;PASTA AZUL;3,4506;g;
TAP-RARES8019032E;T9 (OCTOATO DE ESTAAÑO)       ;8,806;g;
TAP-RARES8019032E;VORANOL 3011 (POLIOL)         ;3283,7855;g;
TAP-RARES8019032E;CLORURO DE METILENO           ;43,3842;g;
TAP-RARES8019032E;SILICONA2 - B 8123 / 580      ;1,136;g;
TAP-RARES8019032E;AIREADORES PLASTICOS;4;Units;
TAP-RARES8019032E;HILO VAHE POLI 80 BLANCO (copia);316,13;m;
TAP-RARES8019032E;HILO VAHE 300T BLANCO (copia);3,96;g;
TAP-RARES8019032E;V1553;1,72;m;
TAP-RARES8019032E;SILICONA1 B 8228 - 594        ;46,4775;g;
TAP-RARES8019032E;BASE RESORTE BICONICO 190X80;1;Units;
TAP-RARES8019032E;CEMENTO SOLIDEX 0777 FC 0782MV;0,1;kg;
TAP-RARES8019032E;"GRAMPA ANILLO ""C"" 3/4 - RING15";0,03;Unidad de Mil;
TAP-RARES8019032E;NYLON VIRGEN 2200MM (STDR);0,52;kg;
TAP-RARES8019032E;FAJA GARANTIA SIN MARCA;1;Units;
TAP-RARES8019032E;HILO VAHE (ESTANDAR) X;68,05;m;
TAP-RARES8019032E;VIVO NEGRO BASTON GRIS 35MM;23,31;m;
TAP-RARES8019032E;TNT 60G - 2M - BLANCO/NEGRO;2,12;m;
TAP-RARES9019032E;V368;1,24;m;
TAP-RARES9019032E;TNT 13G - 2,2M - BLANCO;3,18;m;
TAP-RARES9019032E;AMINA                         ;9,4808;g;
TAP-RARES9019032E;VORANOL 3943 (COPO)           ;1286,561;g;
TAP-RARES9019032E;TDI (DI ISIOCANATO DE TOLUENO);2709,9099;g;
TAP-RARES9019032E;GLICERINA;1,9973;g;
TAP-RARES9019032E;PASTA AZUL;3,8219;g;
TAP-RARES9019032E;T9 (OCTOATO DE ESTAAÑO)       ;9,7974;g;
TAP-RARES9019032E;VORANOL 3011 (POLIOL)         ;3653,0348;g;
TAP-RARES9019032E;CLORURO DE METILENO           ;48,8217;g;
TAP-RARES9019032E;SILICONA2 - B 8123 / 580      ;1,2496;g;
TAP-RARES9019032E;AIREADORES PLASTICOS;4;Units;
TAP-RARES9019032E;HILO VAHE POLI 80 BLANCO (copia);350,14;m;
TAP-RARES9019032E;HILO VAHE 300T BLANCO (copia);4,41;g;
TAP-RARES9019032E;V1553;1,94;m;
TAP-RARES9019032E;SILICONA1 B 8228 - 594        ;51,7935;g;
TAP-RARES9019032E;BASE RESORTE BICONICO 190X90;1;Units;
TAP-RARES9019032E;CEMENTO SOLIDEX 0777 FC 0782MV;0,12;kg;
TAP-RARES9019032E;"GRAMPA ANILLO ""C"" 3/4 - RING15";0,03;Unidad de Mil;
TAP-RARES9019032E;NYLON VIRGEN 2200MM (STDR);0,57;kg;
TAP-RARES9019032E;FAJA GARANTIA SIN MARCA;1;Units;
TAP-RARES9019032E;HILO VAHE (ESTANDAR) X;74,71;m;
TAP-RARES9019032E;VIVO NEGRO BASTON GRIS 35MM;24,15;m;
TAP-RARES9019032E;TNT 60G - 2M - BLANCO/NEGRO;2,32;m;
TAP-RARES10019032E;V368;1,24;m;
TAP-RARES10019032E;TNT 13G - 2,2M - BLANCO;3,38;m;
TAP-RARES10019032E;AMINA                         ;10,3898;g;
TAP-RARES10019032E;VORANOL 3943 (COPO)           ;1408,6098;g;
TAP-RARES10019032E;TDI (DI ISIOCANATO DE TOLUENO);2971,3663;g;
TAP-RARES10019032E;GLICERINA;2,2101;g;
TAP-RARES10019032E;PASTA AZUL;4,1675;g;
TAP-RARES10019032E;T9 (OCTOATO DE ESTAAÑO)       ;10,7478;g;
TAP-RARES10019032E;VORANOL 3011 (POLIOL)         ;4007,1422;g;
TAP-RARES10019032E;CLORURO DE METILENO           ;53,7065;g;
TAP-RARES10019032E;SILICONA2 - B 8123 / 580      ;1,2496;g;
TAP-RARES10019032E;AIREADORES PLASTICOS;4;Units;
TAP-RARES10019032E;HILO VAHE POLI 80 BLANCO (copia);365,55;m;
TAP-RARES10019032E;HILO VAHE 300T BLANCO (copia);4,55;g;
TAP-RARES10019032E;V1553;2,14;m;
TAP-RARES10019032E;SILICONA1 B 8228 - 594        ;56,9853;g;
TAP-RARES10019032E;BASE RESORTE BICONICO 190X100;1;Units;
TAP-RARES10019032E;CEMENTO SOLIDEX 0777 FC 0782MV;0,13;kg;
TAP-RARES10019032E;"GRAMPA ANILLO ""C"" 3/4 - RING15";0,04;Unidad de Mil;
TAP-RARES10019032E;NYLON VIRGEN 2200MM (STDR);0,61;kg;
TAP-RARES10019032E;FAJA GARANTIA SIN MARCA;1;Units;
TAP-RARES10019032E;VIVO NEGRO BASTON GRIS 35MM;25;m;
TAP-RARES10019032E;HILO VAHE (ESTANDAR) X;75,1;m;
TAP-RARES10019032E;TNT 60G - 2M - BLANCO/NEGRO;2,52;m;
TAP-RARES13019032E;V368;1,4;m;
TAP-RARES13019032E;TNT 13G - 2,2M - BLANCO;4,18;m;
TAP-RARES13019032E;AMINA                         ;13,1897;g;
TAP-RARES13019032E;VORANOL 3943 (COPO)           ;1786,4688;g;
TAP-RARES13019032E;TDI (DI ISIOCANATO DE TOLUENO);3773,981;g;
TAP-RARES13019032E;GLICERINA;2,8342;g;
TAP-RARES13019032E;PASTA AZUL;5,2556;g;
TAP-RARES13019032E;T9 (OCTOATO DE ESTAAÑO)       ;13,6588;g;
TAP-RARES13019032E;VORANOL 3011 (POLIOL)         ;5092,1611;g;
TAP-RARES13019032E;CLORURO DE METILENO           ;68,303;g;
TAP-RARES13019032E;SILICONA2 - B 8123 / 580      ;1,3632;g;
TAP-RARES13019032E;AIREADORES PLASTICOS;4;Units;
TAP-RARES13019032E;HILO VAHE POLI 80 BLANCO (copia);435,29;m;
TAP-RARES13019032E;HILO VAHE 300T BLANCO (copia);5,37;g;
TAP-RARES13019032E;V1553;2,78;m;
TAP-RARES13019032E;SILICONA1 B 8228 - 594        ;72,7035;g;
TAP-RARES13019032E;BASE RESORTE BICONICO 190X130;1;Units;
TAP-RARES13019032E;CEMENTO SOLIDEX 0777 FC 0782MV;0,15;kg;
TAP-RARES13019032E;"GRAMPA ANILLO ""C"" 3/4 - RING15";0,04;Unidad de Mil;
TAP-RARES13019032E;NYLON VIRGEN 2200MM (STDR);0,73;kg;
TAP-RARES13019032E;FAJA GARANTIA SIN MARCA;1;Units;
TAP-RARES13019032E;HILO VAHE (ESTANDAR) X;84,17;m;
TAP-RARES13019032E;VIVO NEGRO BASTON GRIS 35MM;27,51;m;
TAP-RARES13019032E;TNT 60G - 2M - BLANCO/NEGRO;3,12;m;
TAP-RARES14019032E;V368;1,4;m;
TAP-RARES14019032E;TNT 13G - 2,2M - BLANCO;4,38;m;
TAP-RARES14019032E;AMINA                         ;14,1358;g;
TAP-RARES14019032E;VORANOL 3943 (COPO)           ;1913,2682;g;
TAP-RARES14019032E;TDI (DI ISIOCANATO DE TOLUENO);4047,0565;g;
TAP-RARES14019032E;GLICERINA;3,0593;g;
TAP-RARES14019032E;PASTA AZUL;5,6269;g;
TAP-RARES14019032E;T9 (OCTOATO DE ESTAAÑO)       ;14,6502;g;
TAP-RARES14019032E;VORANOL 3011 (POLIOL)         ;5461,4104;g;
TAP-RARES14019032E;CLORURO DE METILENO           ;73,7405;g;
TAP-RARES14019032E;SILICONA2 - B 8123 / 580      ;1,4768;g;
TAP-RARES14019032E;AIREADORES PLASTICOS;4;Units;
TAP-RARES14019032E;HILO VAHE POLI 80 BLANCO (copia);450,7;m;
TAP-RARES14019032E;HILO VAHE 300T BLANCO (copia);5,51;g;
TAP-RARES14019032E;V1553;2,98;m;
TAP-RARES14019032E;SILICONA1 B 8228 - 594        ;78,0195;g;
TAP-RARES14019032E;BASE RESORTE BICONICO 190X140;1;Units;
TAP-RARES14019032E;CEMENTO SOLIDEX 0777 FC 0782MV;0,17;kg;
TAP-RARES14019032E;"GRAMPA ANILLO ""C"" 3/4 - RING15";0,04;Unidad de Mil;
TAP-RARES14019032E;NYLON VIRGEN 2200MM (STDR);0,78;kg;
TAP-RARES14019032E;FAJA GARANTIA SIN MARCA;1;Units;
TAP-RARES14019032E;HILO VAHE (ESTANDAR) X;84,56;m;
TAP-RARES14019032E;VIVO NEGRO BASTON GRIS 35MM;28,35;m;
TAP-RARES14019032E;TNT 60G - 2M - BLANCO/NEGRO;3,32;m;
TAP-RARES16020032E;V368;1,59;m;
TAP-RARES16020032E;TNT 13G - 2,2M - BLANCO;4,99;m;
TAP-RARES16020032E;AMINA                         ;16,8325;g;
TAP-RARES16020032E;VORANOL 3943 (COPO)           ;2277,4212;g;
TAP-RARES16020032E;TDI (DI ISIOCANATO DE TOLUENO);4819,7316;g;
TAP-RARES16020032E;GLICERINA;3,6568;g;
TAP-RARES16020032E;PASTA AZUL;6,6766;g;
TAP-RARES16020032E;T9 (OCTOATO DE ESTAAÑO)       ;17,452;g;
TAP-RARES16020032E;VORANOL 3011 (POLIOL)         ;6505,7811;g;
TAP-RARES16020032E;CLORURO DE METILENO           ;87,7264;g;
TAP-RARES16020032E;SILICONA2 - B 8123 / 580      ;1,5904;g;
TAP-RARES16020032E;AIREADORES PLASTICOS;4;Units;
TAP-RARES16020032E;HILO VAHE POLI 80 BLANCO (copia);524,64;m;
TAP-RARES16020032E;HILO VAHE 300T BLANCO (copia);6,41;g;
TAP-RARES16020032E;V1553;3,4;m;
TAP-RARES16020032E;SILICONA1 B 8228 - 594        ;93,1353;g;
TAP-RARES16020032E;BASE RESORTE BICONICO 200X160;1;Units;
TAP-RARES16020032E;CEMENTO SOLIDEX 0777 FC 0782MV;0,18;kg;
TAP-RARES16020032E;"GRAMPA ANILLO ""C"" 3/4 - RING15";0,05;Unidad de Mil;
TAP-RARES16020032E;NYLON VIRGEN 2300MM (STDR);0,94;kg;
TAP-RARES16020032E;FAJA GARANTIA SIN MARCA;1;Units;
TAP-RARES16020032E;HILO VAHE (ESTANDAR) X;95,79;m;
TAP-RARES16020032E;VIVO NEGRO BASTON GRIS 35MM;30,87;m;
TAP-RARES16020032E;TNT 60G - 2M - BLANCO/NEGRO;3,72;m;
TAP-RARES16020032E;ALE ASTM227 CII-5,00 MM-RS500(;2,21;kg;
TAP-RARES16020032E;ESTABILIZADORES DOBLE M;12;Units;
TAP-RARES16020032E;GRAMPA CLIP CC32 - 11*14;168;Units;
TAP-RARES16020032E;GRAMPA CLIP CL34 - 22*17;72;Units;
TAP-RARES18020032E;V368;1,59;m;
TAP-RARES18020032E;TNT 13G - 2,2M - BLANCO;5,41;m;
TAP-RARES18020032E;AMINA                         ;18,621;g;
TAP-RARES18020032E;VORANOL 3943 (COPO)           ;2542,5886;g;
TAP-RARES18020032E;TDI (DI ISIOCANATO DE TOLUENO);5292,0823;g;
TAP-RARES18020032E;GLICERINA;3,6691;g;
TAP-RARES18020032E;PASTA AZUL;7,5087;g;
TAP-RARES18020032E;T9 (OCTOATO DE ESTAAÑO)       ;19,1058;g;
TAP-RARES18020032E;VORANOL 3011 (POLIOL)         ;7128,2808;g;
TAP-RARES18020032E;CLORURO DE METILENO           ;88,2791;g;
TAP-RARES18020032E;SILICONA2 - B 8123 / 580      ;1,704;g;
TAP-RARES18020032E;AIREADORES PLASTICOS;4;Units;
TAP-RARES18020032E;HILO VAHE POLI 80 BLANCO (copia);557,06;m;
TAP-RARES18020032E;HILO VAHE 300T BLANCO (copia);6,71;g;
TAP-RARES18020032E;V1553;3,82;m;
TAP-RARES18020032E;SILICONA1 B 8228 - 594        ;101,0841;g;
TAP-RARES18020032E;BASE RESORTE BICONICO 200X180;1;Units;
TAP-RARES18020032E;CEMENTO SOLIDEX 0777 FC 0782MV;0,22;kg;
TAP-RARES18020032E;"GRAMPA ANILLO ""C"" 3/4 - RING15";0,05;Unidad de Mil;
TAP-RARES18020032E;NYLON VIRGEN 2300MM (STDR);1,02;kg;
TAP-RARES18020032E;FAJA GARANTIA SIN MARCA;1;Units;
TAP-RARES18020032E;HILO VAHE (ESTANDAR) X;96,58;m;
TAP-RARES18020032E;VIVO NEGRO BASTON GRIS 35MM;32,55;m;
TAP-RARES18020032E;TNT 60G - 2M - BLANCO/NEGRO;4,12;m;
TAP-RARES18020032E;ALE ASTM227 CII-5,00 MM-RS500(;2,33;kg;
TAP-RARES18020032E;ESTABILIZADORES DOBLE M;12;Units;
TAP-RARES18020032E;GRAMPA CLIP CC32 - 11*14;176;Units;
TAP-RARES18020032E;GRAMPA CLIP CL34 - 22*17;72;Units;
TAP-RARES20020032E;V368;1,85;m;
TAP-RARES20020032E;TNT 13G - 2,2M - BLANCO;6,09;m;
TAP-RARES20020032E;AMINA                         ;20,9921;g;
TAP-RARES20020032E;VORANOL 3943 (COPO)           ;2842,705;g;
TAP-RARES20020032E;TDI (DI ISIOCANATO DE TOLUENO);6005,1573;g;
TAP-RARES20020032E;GLICERINA;4,5203;g;
TAP-RARES20020032E;PASTA AZUL;8,3087;g;
TAP-RARES20020032E;T9 (OCTOATO DE ESTAAÑO)       ;21,7426;g;
TAP-RARES20020032E;VORANOL 3011 (POLIOL)         ;8106,0631;g;
TAP-RARES20020032E;CLORURO DE METILENO           ;107,8183;g;
TAP-RARES20020032E;SILICONA2 - B 8123 / 580      ;1,704;g;
TAP-RARES20020032E;AIREADORES PLASTICOS;4;Units;
TAP-RARES20020032E;HILO VAHE POLI 80 BLANCO (copia);629,18;m;
TAP-RARES20020032E;HILO VAHE 300T BLANCO (copia);7,67;g;
TAP-RARES20020032E;V1553;4,24;m;
TAP-RARES20020032E;SILICONA1 B 8228 - 594        ;116,2002;g;
TAP-RARES20020032E;BASE RESORTE BICONICO 200X200;1;Units;
TAP-RARES20020032E;CEMENTO SOLIDEX 0777 FC 0782MV;0,23;kg;
TAP-RARES20020032E;"GRAMPA ANILLO ""C"" 3/4 - RING15";0,06;Unidad de Mil;
TAP-RARES20020032E;NYLON VIRGEN 2300MM (STDR);1,12;kg;
TAP-RARES20020032E;FAJA GARANTIA SIN MARCA;1;Units;
TAP-RARES20020032E;HILO VAHE (ESTANDAR) X;110,8;m;
TAP-RARES20020032E;VIVO NEGRO BASTON GRIS 35MM;34,23;m;
TAP-RARES20020032E;TNT 60G - 2M - BLANCO/NEGRO;4,52;m;
TAP-RARES20020032E;ALE ASTM227 CII-5,00 MM-RS500(;2,45;kg;
TAP-RARES20020032E;ESTABILIZADORES DOBLE M;12;Units;
TAP-RARES20020032E;GRAMPA CLIP CC32 - 11*14;184;Units;
TAP-RARES20020032E;GRAMPA CLIP CL34 - 22*17;72;Units;
RC90-1_ MAT-SIMPLE-100;LISTON 1X2X1,850;1,2;ft²;
RC90-1_ MAT-SIMPLE-100;LISTON 1X2X0,920;1,51;ft²;
RC90-1_ MAT-SIMPLE-100;CHAPADUR 3MM                  ;0,9;m²;
RC90-1_ MAT-SIMPLE-100;TNT 13G - 2,2M - BLANCO;0,9;m;
RC90-1_ MAT-SIMPLE-100;ORION 54;1,18;m;
RC90-1_ MAT-SIMPLE-100;AMINA                         ;1,3959;g;
RC90-1_ MAT-SIMPLE-100;VORANOL 3943 (COPO)           ;92,0166;g;
RC90-1_ MAT-SIMPLE-100;TDI (DI ISIOCANATO DE TOLUENO);564;g;
RC90-1_ MAT-SIMPLE-100;GLICERINA;1,8753;g;
RC90-1_ MAT-SIMPLE-100;SILICONA1 B 8228 - 594        ;16,2009;g;
