Lista de Materiales — tal como la entregó Sistemas;;;;
56.207 líneas: Modelo -> Insumo -> Cantidad por unidad. Es el insumo base de todos los cálculos de este archivo.;;;;
;;;;
Modelo (base);Insumo (materia prima);Cantidad por unidad;UdM;
DONATO(L), SOFA-1/2C(-29);CADENA NYLON N 5 (ESTANDAR);1,37;m;
DONATO(L), SOFA-1/2C(-29);CINCHA ELASTICA ASIENTO;8,59;m;
DONATO(L), SOFA-1/2C(-29);DESLIZADOR NRO 5;2;Units;
DONATO(L), SOFA-1/2C(-29);FORRO 21MM (ESTANDAR);6,25;m;
DONATO(L), SOFA-1/2C(-29);GRAMPA 84/14;0,63;Unidad de Mil;
DONATO(L), SOFA-1/2C(-29);GRAMPA 84/8;0,75;Unidad de Mil;
DONATO(L), SOFA-1/2C(-29);GRAMPA 92/40;0,4;Unidad de Mil;
DONATO(L), SOFA-1/2C(-29);GUATA 100G 150M;0,68;m;
DONATO(L), SOFA-1/2C(-29);HILO VAHE (ESTANDAR) X;50;m;
DONATO(L), SOFA-1/2C(-29);LIENZO ALPILLERA 0.50;1,84;m;
DONATO(L), SOFA-1/2C(-29);LIENZO TNT 75 ANCHO (ALPILL);1,35;m;
DONATO(L), SOFA-1/2C(-29);LIENZO TNT 90 ANCHO (ALPILL);1,66;m;
DONATO(L), SOFA-1/2C(-29);NYLON BOLSA 189X280X80 (LEAN);1;Units;
DONATO(L), SOFA-1/2C(-29);PCP-35(REGATON 70X35);1;Units;
DONATO(L), SOFA-1/2C(-29);PRECINTO 200X3.6;7;Units;
DONATO(L), SOFA-1/2C(-29);REGATON BASTON 10*80P/PRECINTO;7;Units;
DONATO(L), SOFA-1/2C(-29);TNT 30G - 1,5M - BLANCO;2,52;m;
DONATO(L), SOFA-1/2C(-29);FLP 05-40 (REG100X100X40);4;Units;
MISSANA(L), SOFA-2CPOS(-20);CORTE DE TELA 1;1;Units;
MISSANA(L), SOFA-2CPOS(-20);LISTON 1X2X0,630;0,69;ft²;
MISSANA(L), SOFA-2CPOS(-20);LISTON 1X2X0,670;0,37;ft²;
MISSANA(L), SOFA-2CPOS(-20);LISTON 1X2X0,800;2,62;ft²;
MISSANA(L), SOFA-2CPOS(-20);LISTON 1X2X1,360;3,72;ft²;
MISSANA(L), SOFA-2CPOS(-20);LISTON 1X3X0,800;2,62;ft²;
MISSANA(L), SOFA-2CPOS(-20);LISTON 1X3X1,850;3,35;ft²;
MISSANA(L), SOFA-2CPOS(-20);LISTON 1X2X1,850;2,15;ft²;
MISSANA(L), SOFA-2CPOS(-20);MDF 9MM                       ;1,59;m²;
MISSANA(L), SOFA-2CPOS(-20);CHAPADUR 3MM                  ;0,73;m²;
MISSANA(L), SOFA-2CPOS(-20);AMINA                         ;12,3029;g;
MISSANA(L), SOFA-2CPOS(-20);TDI (DI ISIOCANATO DE TOLUENO);3139,8809;g;
MISSANA(L), SOFA-2CPOS(-20);PASTA AMARILLA;3,7648;g;
